x, y, a, h, b, c, sigma_section, von_mises, N, T, M, Fx, Fy
0.0, 0.0, 0.0015, 0.00900000002604, 0.00899999986265, 0.0015, 149999999.15, 9350890.98165, -15.8519000011, -194.354617301, 0.0, 0.0, 195.0
-0.175, 0.0142733038129, 0.0015, 0.0138147097087, 0.00900000007138, 0.0015, 149999999.214, 3666927.70217, 51.495070193, 91.5055066421, -34.125, 1.7763568394e-15, -105.0
-0.262148101075, 0.0633162275312, 0.0015, 0.0102762713483, 0.00900000008383, 0.0015, 108726128.455, 4162993.28268, 52.1611220627, 91.1274785405, -24.9744493871, 0.0, -105.0
-0.348936177216, 0.112993487406, 0.0015, 0.00899999989055, 0.00900000002786, 0.0015, 135133.059786, 5046389.85976, 4.864790113, 104.887243348, -15.8617013924, 0.0, -105.0
-0.5, 0.12, 0.0015, 0.00900000009362, 0.00899999985624, 0.0015, 0.0, 1.36597168671e-09, 1.31681572411e-15, 2.83911881276e-14, 3.5527136788e-15, 0.0, -2.84217094304e-14
